MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
4,1,	0.398174,	1.560254,	0.195093,	0.325038,	2.478901,
4,2,	0.287794,	0.832997,	0.192986,	0.196535,	1.510680,
4,3,	0.249956,	0.590761,	0.193325,	0.150797,	1.186783,
4,4,	0.232030,	0.468812,	0.192815,	0.126174,	1.022187,
4,5,	0.219666,	0.398268,	0.192199,	0.110980,	0.944705,
4,6,	0.211854,	0.351282,	0.192615,	0.100864,	0.859429,
4,7,	0.206958,	0.320460,	0.226904,	0.094043,	0.849108,
4,8,	0.204130,	0.295668,	0.192185,	0.088854,	0.785373,
4,9,	0.200793,	0.276923,	0.191999,	0.084349,	0.758609,
4,10,	0.198920,	0.263420,	0.192275,	0.080906,	0.738665,
4,11,	0.195994,	0.252326,	0.192583,	0.079164,	0.732183,
4,12,	0.194561,	0.242997,	0.192662,	0.076079,	0.708233,
4,13,	0.214065,	0.250356,	0.192805,	0.091231,	0.751085,
4,14,	0.210962,	0.259218,	0.191461,	0.087891,	0.749944,
4,15,	0.211217,	0.243994,	0.193920,	0.086893,	0.752235,
4,16,	0.208493,	0.252086,	0.192955,	0.085701,	0.748199,
4,17,	0.211918,	0.247990,	0.192487,	0.083900,	0.767013,
4,18,	0.207855,	0.257115,	0.193977,	0.084823,	0.753036,
4,19,	0.210946,	0.252993,	0.196100,	0.080692,	0.759644,
4,20,	0.206537,	0.264992,	0.193526,	0.080441,	0.759264,
4,21,	0.211568,	0.261060,	0.229517,	0.079044,	0.782777,
4,22,	0.214963,	0.261103,	0.193313,	0.077832,	0.763081,
4,23,	0.208507,	0.276910,	0.193864,	0.082293,	0.770690,
4,24,	0.215034,	0.289407,	0.194874,	0.082329,	0.801243,
