MPI process	OMP thread	Send MSG,	OMP time,	Recv msg,	total time
4,1,	0.700004,	3.159679,	0.342096,	0.875396,	5.114753 
4,2,	0.545563,	0.557880,	0.417941,	0.568297,	3.055445 
4,3,	0.311361,	0.311462,	0.216718,	0.292872,	1.580619 
4,4,	0.288979,	0.289073,	0.217158,	0.257789,	1.355311 
4,5,	0.273344,	0.273465,	0.217296,	0.237454,	1.247251 
4,6,	0.264360,	0.457825,	0.216110,	0.223062,	1.161659 
4,7,	0.258084,	0.258254,	0.216261,	0.213476,	1.106883 
4,8,	0.252288,	0.260344,	0.216762,	0.200330,	1.070405 
4,9,	0.252282,	0.343187,	0.216618,	0.199523,	1.023723 
4,10,	0.249717,	0.249901,	0.234893,	0.194914,	1.024124 
4,11,	0.247930,	0.256130,	0.217340,	0.193382,	1.049171 
4,12,	0.251925,	0.368982,	0.252727,	0.210240,	1.084252 
4,13,	0.455752,	0.469324,	0.212650,	0.331777,	1.452940 
4,14,	0.409806,	0.319800,	0.291346,	0.388578,	1.623024 
