MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
1,1,	0.000000,	7.340095,	0.688774,	0.000000,	8.029015 
1,2,	0.000000,	3.889860,	0.688401,	0.000000,	4.578402 
1,3,	0.000001,	2.754045,	0.689017,	0.000000,	3.443217 
1,4,	0.000000,	2.167968,	0.691461,	0.000000,	2.859597 
1,5,	0.000000,	1.832302,	0.688258,	0.000000,	2.520712 
1,6,	0.000000,	1.626176,	0.688137,	0.000000,	2.314470 
1,7,	0.000000,	1.470315,	0.687913,	0.000000,	2.158397 
1,8,	0.000000,	1.356170,	0.688821,	0.000000,	2.045156 
1,9,	0.000000,	1.262468,	0.689758,	0.000000,	1.952377 
1,10,	0.000000,	1.195099,	0.689720,	0.000000,	1.884972 
