MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
1,1,	0.000000,	7.306926,	0.846140,	0.000000,	8.153200,	
1,2,	0.000000,	3.869328,	0.847444,	0.000000,	4.773643,	
1,3,	0.000000,	2.727987,	0.847844,	0.000000,	3.576019,	
1,4,	0.000000,	2.163719,	0.849097,	0.000000,	3.012960,	
1,5,	0.000000,	1.829462,	0.850506,	0.000000,	2.680103,	
1,6,	0.000000,	1.603851,	0.849497,	0.000000,	2.453502,	
1,7,	0.000000,	1.456394,	0.848168,	0.000000,	2.304698,	
1,8,	0.000000,	1.344642,	0.848345,	0.000000,	2.193180,	
1,9,	0.000000,	1.254495,	0.849988,	0.000000,	2.104619,	
1,10,	0.000000,	1.182685,	0.853722,	0.000000,	2.036551,	
1,11,	0.000001,	1.125972,	0.850525,	0.000000,	1.976638,	
1,12,	0.000000,	1.081147,	0.849240,	0.000000,	1.930527,	
1,13,	0.000000,	1.052257,	0.850294,	0.000000,	1.902709,	
1,14,	0.000000,	1.025347,	0.854349,	0.000000,	1.879899,	
1,15,	0.000000,	1.004963,	0.851544,	0.000000,	1.856640,	
1,16,	0.000000,	0.988527,	0.923538,	0.000000,	1.912206,	
1,17,	0.000000,	0.970886,	0.852085,	0.000000,	1.823118,	
1,18,	0.000000,	0.958562,	0.850829,	0.000000,	1.809547,	
1,19,	0.000000,	0.951985,	0.852421,	0.000000,	1.804559,	
1,20,	0.000000,	0.927109,	0.851717,	0.000000,	1.779015,	
1,21,	0.000000,	0.921261,	0.977930,	0.000000,	1.899335,	
1,22,	0.000000,	0.916091,	0.853566,	0.000000,	1.769808,	
1,23,	0.000000,	0.895034,	0.851254,	0.000000,	1.746432,	
1,24,	0.000000,	0.895501,	0.851382,	0.000000,	1.751245,	
1,25,	0.000000,	0.955564,	0.856476,	0.000000,	1.812196,	
1,26,	0.000000,	1.059195,	0.852180,	0.000000,	1.911549,	
1,27,	0.000000,	1.092679,	0.852520,	0.000000,	1.945362,	
1,28,	0.000000,	0.958804,	0.855035,	0.000000,	1.814001,	
1,29,	0.000001,	1.363340,	0.854653,	0.000000,	2.218161,	
1,30,	0.000000,	0.986697,	0.855271,	0.000000,	1.842118,	
2,1,	0.281436,	3.533359,	0.430773,	0.263867,	4.509753,	
2,2,	0.204995,	1.876089,	0.427917,	0.183075,	2.692326,	
2,3,	0.179187,	1.327554,	0.428072,	0.175000,	2.114443,	
2,4,	0.166441,	1.049270,	0.430133,	0.150595,	1.809162,	
2,5,	0.159257,	0.890954,	0.430566,	0.130843,	1.622858,	
2,6,	0.154089,	0.783637,	0.428463,	0.126011,	1.495386,	
2,7,	0.150405,	0.710309,	0.429032,	0.119510,	1.411320,	
2,8,	0.147374,	0.655310,	0.437005,	0.114707,	1.356210,	
2,9,	0.145651,	0.613492,	0.428925,	0.110167,	1.299835,	
2,10,	0.143832,	0.579950,	0.429885,	0.107418,	1.262535,	
2,11,	0.142403,	0.554361,	0.429634,	0.104680,	1.236050,	
2,12,	0.143079,	0.533382,	0.429177,	0.102585,	1.209484,	
2,13,	0.143010,	0.518939,	0.429099,	0.103576,	1.195703,	
2,14,	0.143697,	0.504951,	0.429530,	0.101865,	1.181078,	
2,15,	0.141332,	0.497036,	0.430436,	0.100735,	1.170566,	
2,16,	0.140955,	0.486386,	0.429900,	0.099311,	1.157499,	
2,17,	0.140147,	0.482268,	0.430661,	0.098677,	1.152681,	
2,18,	0.139205,	0.473343,	0.430008,	0.097625,	1.141090,	
2,19,	0.138837,	0.469911,	0.459029,	0.096539,	1.165179,	
2,20,	0.138368,	0.462610,	0.430382,	0.096071,	1.128289,	
2,21,	0.139172,	0.454103,	0.429726,	0.095484,	1.122113,	
2,22,	0.138299,	0.457552,	0.432699,	0.094419,	1.123771,	
2,23,	0.138016,	0.447278,	0.430870,	0.094264,	1.111211,	
2,24,	0.137072,	0.450325,	0.430403,	0.094121,	1.114378,	
2,25,	0.143102,	0.451839,	0.430519,	0.103899,	1.130069,	
2,26,	0.142864,	0.460360,	0.436878,	0.102990,	1.143709,	
2,27,	0.142185,	0.462742,	0.432267,	0.101915,	1.139684,	
2,28,	0.142259,	0.489898,	0.431894,	0.101584,	1.166239,	
2,29,	0.141344,	0.511686,	0.431986,	0.100755,	1.186490,	
2,30,	0.140874,	0.964408,	0.438412,	0.100017,	1.644469,	
3,1,	0.472762,	2.000487,	0.255774,	0.501283,	5.644554,	
3,2,	0.342291,	1.051141,	0.261615,	0.319988,	3.300920,	
