MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
1,1,	0.000000,	6.662338,	0.778478,	0.000000,	7.440959	
1,2,	0.000000,	3.533475,	0.772480,	0.000000,	4.306096	
1,3,	0.000000,	2.501656,	0.770667,	0.000000,	3.272465	
1,4,	0.000000,	1.998208,	0.769523,	0.000000,	2.767879	
1,5,	0.000000,	1.666084,	0.771351,	0.000000,	2.437573	
1,6,	0.000000,	1.462712,	0.768844,	0.000000,	2.231691
1,7,	0.000000,	1.322969,	0.770450,	0.000000,	2.093567
1,8,	0.000000,	1.215587,	0.768660,	0.000000,	1.984396
1,9,	0.000000,	1.133396,	0.768440,	0.000000,	1.901977
1,10,	0.000000,	1.066194,	0.767720,	0.000000,	1.834054
1,11,	0.000000,	1.019463,	0.768698,	0.000000,	1.788309
1,12,	0.000000,	0.973722,	0.769506,	0.000000,	1.743367
1,13,	0.000000,	0.974108,	0.768347,	0.000000,	1.742624
1,14,	0.000000,	0.981683,	0.768747,	0.000000,	1.750594
1,15,	0.000000,	0.976724,	0.811584,	0.000000,	1.788477
1,16,	0.000000,	0.992336,	0.768390,	0.000000,	1.760894
1,17,	0.000000,	1.018153,	0.769178,	0.000000,	1.787496
1,18,	0.000000,	1.034502,	0.770289,	0.000000,	1.804955
1,19,	0.000000,	1.030792,	0.770515,	0.000000,	1.801475
1,20,	0.000000,	1.039291,	0.770843,	0.000000,	1.810289
1,21,	0.000000,	1.041958,	0.770624,	0.000000,	1.812742
1,22,	0.000000,	1.078847,	0.770051,	0.000000,	1.849068
1,23,	0.000000,	1.100533,	0.771799,	0.000000,	1.872492
1,24,	0.000000,	1.107029,	0.883462,	0.000000,	1.990644
2,1,	0.260702,	3.214897,	0.389403,	0.243326,	4.142478
2,2,	0.186943,	1.712265,	0.386393,	0.213995,	2.499872
2,3,	0.163387,	1.213790,	0.385626,	0.223701,	1.990396
2,4,	0.150936,	0.959657,	0.385039,	0.219306,	1.717892
2,5,	0.143801,	0.812259,	0.384880,	0.217067,	1.560449
2,6,	0.138917,	0.717674,	0.385192,	0.215388,	1.459228
2,7,	0.135561,	0.644971,	0.385623,	0.214370,	1.382338
2,8,	0.132802,	0.596094,	0.384998,	0.213290,	1.328899
2,9,	0.130788,	0.556912,	0.385967,	0.212755,	1.287878
2,10,	0.129583,	0.526776,	0.382710,	0.212367,	1.253495
2,11,	0.127670,	0.502992,	0.385007,	0.211488,	1.239269
2,12,	0.126983,	0.486492,	0.385157,	0.211617,	1.211354
2,13,	0.136905,	0.487936,	0.384852,	0.209792,	1.220235
2,14,	0.135954,	0.485502,	0.384930,	0.209913,	1.220085
2,15,	0.134245,	0.502503,	0.385733,	0.209618,	1.232815
2,16,	0.132635,	0.510356,	0.385803,	0.209461,	1.239009
2,17,	0.132244,	0.495520,	0.385525,	0.209814,	1.254136
2,18,	0.131269,	0.526612,	0.386395,	0.209738,	1.254809
2,19,	0.130315,	0.529894,	0.387024,	0.209607,	1.257584
2,20,	0.129386,	0.540464,	0.386436,	0.210040,	1.291014
2,21,	0.129354,	0.558400,	0.386723,	0.210159,	1.285380
2,22,	0.128021,	0.599618,	0.388969,	0.210124,	1.327507
2,23,	0.127580,	0.557504,	0.387272,	0.209613,	1.282719
2,24,	0.126919,	0.590996,	0.391950,	0.209819,	1.320386
3,1,	0.796006,	3.094878,	0.390589,	0.661473,	8.721095
3,2,	0.582008,	1.604071,	0.375559,	0.659479,	4.859094
3,3,	0.521009,	1.067208,	0.388430,	0.681485,	3.916099
