MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
1,1,	0.000000,	6.772148,	0.778255,	0.000000,	7.550529
1,2,	0.000000,	3.579056,	0.770984,	0.000000,	4.350174
1,3,	0.000000,	2.530490,	0.763451,	0.000000,	3.294141
1,4,	0.000000,	2.005080,	0.768510,	0.000000,	2.773728
1,5,	0.000000,	1.692886,	0.768311,	0.000000,	2.461334
1,6,	0.000000,	1.484458,	0.767323,	0.000000,	2.251919
1,7,	0.000000,	1.339008,	0.766868,	0.000000,	2.106014
1,8,	0.000000,	1.224708,	0.768420,	0.000000,	1.993306
1,9,	0.000000,	1.144469,	0.766278,	0.000000,	1.910883
1,10,	0.000000,	1.083453,	0.770419,	0.000000,	1.854028
1,11,	0.000000,	1.026785,	0.767547,	0.000000,	1.794469
1,12,	0.000000,	0.989094,	0.768052,	0.000000,	1.757307
1,13,	0.000000,	0.990828,	0.785648,	0.000000,	1.776638
1,14,	0.000000,	0.991684,	0.766972,	0.000000,	1.758806
1,15,	0.000000,	1.005061,	0.768994,	0.000000,	1.774220
1,16,	0.000000,	0.998701,	0.766785,	0.000000,	1.765664
1,17,	0.000000,	1.007296,	0.768350,	0.000000,	1.775826
1,18,	0.000000,	1.113001,	0.767221,	0.000000,	1.880403
1,19,	0.000000,	1.018419,	0.761633,	0.000000,	1.780225
1,20,	0.000000,	1.018810,	0.770148,	0.000000,	1.789145
1,21,	0.000000,	1.011801,	0.768397,	0.000000,	1.780365
1,22,	0.000000,	1.063050,	0.769201,	0.000000,	1.832432
1,23,	0.000000,	1.057592,	0.786002,	0.000000,	1.843774
1,24,	0.000000,	1.068382,	0.768535,	0.000000,	1.837077
2,1,	0.253677,	3.273958,	0.390208,	0.213878,	4.131974
2,2,	0.182460,	1.733414,	0.385281,	0.132900,	2.437065
2,3,	0.159119,	1.228514,	0.384943,	0.115412,	1.893192
2,4,	0.147138,	0.971983,	0.381493,	0.096731,	1.606214
2,5,	0.140193,	0.824124,	0.384558,	0.086333,	1.438213
2,6,	0.136019,	0.725490,	0.383809,	0.078806,	1.326662
2,7,	0.132503,	0.654536,	0.383817,	0.074249,	1.247309
2,8,	0.129533,	0.604966,	0.383951,	0.070396,	1.191681
2,9,	0.127983,	0.562979,	0.384106,	0.067540,	1.144378
2,10,	0.126342,	0.531069,	0.384403,	0.065282,	1.112056
2,11,	0.125100,	0.506736,	0.383719,	0.063220,	1.083919
2,12,	0.124828,	0.487396,	0.385480,	0.061675,	1.062560
2,13,	0.134104,	0.491593,	0.384067,	0.071292,	1.098341
2,14,	0.132844,	0.512367,	0.382132,	0.071164,	1.099897
2,15,	0.131323,	0.501502,	0.384703,	0.067629,	1.086320
2,16,	0.130162,	0.510413,	0.384622,	0.067611,	1.106149
2,17,	0.129137,	0.509862,	0.384975,	0.065910,	1.101069
2,18,	0.128211,	0.496576,	0.383933,	0.063469,	1.090342
2,19,	0.127347,	0.510907,	0.385046,	0.064162,	1.101742
2,20,	0.126665,	0.517187,	0.434915,	0.063712,	1.143391
2,21,	0.133266,	0.539709,	0.383897,	0.061790,	1.119364
2,22,	0.131781,	0.539145,	0.385655,	0.066211,	1.123884
2,23,	0.131016,	0.531988,	0.386302,	0.064592,	1.114862
2,24,	0.131051,	0.520485,	0.386154,	0.064939,	1.113300
3,1,	0.381664,	1.577305,	0.195220,	0.312571,	4.350735
3,2,	0.275812,	0.837893,	0.193267,	0.194506,	2.592876
3,3,	0.240647,	0.593867,	0.193077,	0.162298,	2.014717
3,4,	0.222461,	0.471246,	0.192475,	0.137825,	1.721327
3,5,	0.212402,	0.401037,	0.192839,	0.124089,	1.546183
3,6,	0.204993,	0.353786,	0.192596,	0.114563,	1.429455
3,7,	0.200023,	0.321002,	0.191849,	0.108284,	1.424735
3,8,	0.196437,	0.334914,	0.205956,	0.102904,	1.343921
3,9,	0.193339,	0.402161,	0.202319,	0.099737,	1.311085
3,10,	0.191155,	0.358805,	0.198009,	0.095578,	1.297649
3,11,	0.188733,	0.383083,	0.204672,	0.093306,	1.297527
3,12,	0.336735,	0.347775,	0.328073,	0.132318,	1.493496
3,13,	0.202802,	0.296582,	0.259727,	0.107861,	1.303046
3,14,	0.199994,	0.293387,	0.192876,	0.106274,	1.270673
3,15,	0.198838,	0.304526,	0.193411,	0.102995,	1.301463
3,16,	0.196820,	0.388834,	0.231010,	0.109856,	1.316755
3,17,	0.201357,	0.326696,	0.228618,	0.106520,	1.297488
3,18,	0.193676,	0.303125,	0.193914,	0.102467,	1.308862
3,19,	0.200906,	0.288979,	0.193216,	0.105297,	1.327987
3,20,	0.197284,	0.331224,	0.223335,	0.108718,	1.314030
3,21,	0.203518,	0.294008,	0.227208,	0.097907,	1.349220
